data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
41	JPS0601426	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.2			0	2		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = -0.9 K.			Isotope Effect in the Organic Superconductor kappa-(BEDT-TTF)2Cu[N(CN)2]Br 	1991			J.Phys.Soc.jpn, 60(1991)1426	H.Anzai,M.Tokumoto,N.Kinoshita,Y.Tanaka		
42	JPS0603230	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							10.9			0	2		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = -0.3 K.			Magnetic Determination of Ginzburg-Landau Coherence Lengthfor Organic Superconductor kappa-(BEDT-TTF)2X (X=Cu(NCS)2,Cu[N(CN)2]Br): Effect of Isotope Substitution	1991			J.Phys.Soc.jpn, 60(1991)3230	G.Saito,H.Ito,M.Watanabe,N.Hosoito,T.Ishiguro,T.Komatsu,Y.Nogami		
43	PHS0670295	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.7			0	1		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = -0.5 K.				1992			Phosphourus Sulfur Silicon Relat.Elem., 67(1992)295	G.Saito,H.Ito,H.Yamochi,N.Matsukawa,T.Ishiguro,T.Komatsu,T.Nakamura		
44	SYN0552314	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.4			0	3		C																				isotope (substitution of the central double bonded C atoms with C<13>). delta-Tc = +0.05 K.			Isotope effect in <13>C-substituted (central C=C) kappa-phase organic superconductors  	1993			Synth.Met., 55-57(1993)2314	A.M.Kini,D.H.Parker,G.A.Yaconi,H.H.Wang,J.D.B.Sutin,J.D.Dudek,J.M.Seaman,J.M.Williams,J.R.Ferraro,K.D.Carlson,K.R.Lykke,N.L.Eastman,P.B.Mobley,P.Wurz,R.A.Klemm,S.Fleshler,S.K.Kumar,U.Geiser		
45	PHS0670295	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.3			0	2		C																				isotope (substitution of the four ethylene C atoms with C<13>). delta-Tc = 0.00 K.				1992			Phosphourus Sulfur Silicon Relat.Elem., 67(1992)295	G.Saito,H.Ito,H.Yamochi,N.Matsukawa,T.Ishiguro,T.Komatsu,T.Nakamura		
46	PHC2040399	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.39			0	3		C																				isotope (substitution of all doubly bonded C atoms with C<13>). delta-Tc = +0.03 K.			DO THE INTRAMOLECULAR C=C STRETCHING VIBRATIONAL MODES IN ET MEDIATE ELECTRON-PAIRING IN K-(ET)2X SUPERCONDUCTORS?	1993			PHYSICA C,204(1993)399	A.M.KINI,G.A.YACONI,H.H.WANG,J.A.SCHLUETER,J.D.DUDEK,J.M.WILLIAMS,J.R.FERRARO,K.D.CARLSON,K.R.LYKKE,P.STOUT,P.WURZ,R.A.KLEMM,U.GEISER	ORG	
47	PHC2150195	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.28			0	3		S																				isotope (substitution of all eight S atoms with S<34>). delta-Tc = -0.08 K.			IN SEARCH OF AN ISOTOPE EFFECT ON TC IN K-(ET)2X SUPERCONDUCTORS WITH 34S ISOTOPIC SUBSTITUTION IN THE EIGHT SULFUR ATOMS OFBIS (ETHYLENEDITHIO) TETRATHIAFULVALENE(ET)	1993			PHYSICA C,215(1993)195	A.M.KINI,H.H.WANG,J.A.SCHLUETER,J.D.DUDEK,J.R.FERRARO,JACK M.WILLIAMS,K.D.CARLSON,K.R.LYKKE,M.A.CALECA,P.STOUT,R.A.KLEMM,U.GEISER		
48	JPS0603230	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							8.7			0	2		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = +0.3 K.			Magnetic Determination of Ginzburg-Landau Coherence Lengthfor Organic Superconductor kappa-(BEDT-TTF)2X (X=Cu(NCS)2,Cu[N(CN)2]Br): Effect of Isotope Substitution	1991			J.Phys.Soc.jpn, 60(1991)3230	G.Saito,H.Ito,M.Watanabe,N.Hosoito,T.Ishiguro,T.Komatsu,Y.Nogami		
49	SYN0270473	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							10.3			0	1		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = +0.7 K.				1988			Synth.Met., 27(1988)A473	G.Saito,H.Urayama,H.Yamochi,K.Oshima		
50	MCL2290129	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							8.8			0	3		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = +0.8 K.			Infrared resonance Raman spectra of kappa-(BEDT-TTF)2Cu(NCS)2 organic metals; H8-, H4D4-, and D8-(BEDT-TTF) derivatives	1993			Mol.Cryst.Liq.Cryst., 229(1993)129	B.Hilti,C.Garrigou-Lagrange,C.Sourisseau,C.W.Mayer,J.Zambounis,P.Delhaes,R.Swietlik		
51	PHC2640081	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.2			0	3		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = +0.3 K.			Determination of amass isotope effect on T in an electron-donor-based organic superconductor, k-(ET)2Cu(NCS)2, where ET represents bis(ethylenedithio)tetrathiafulvalene	1996		Chemistry and Materials Science Divisions, Argonne National Laboratory, 9700 S. Cass Avenue, Argonne, IL 60439, USA	Physica.C,264(1996)81-94	A.M. Kini,H.H. Wang,J.A. Schlueter,J.D. Dudek,Jack M. Williams,K.D. Carlson,K.R. Lykke,S.A. Sirchio,U. Geiser	organic	
52	SYN0552314	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.3			0	3		C																				isotope (substitution of the central double bonded C atoms with C<13>). delta-Tc = +0.02 K.			Isotope effect in <13>C-substituted (central C=C) kappa-phase organic superconductors  	1993			Synth.Met., 55-57(1993)2314	A.M.Kini,D.H.Parker,G.A.Yaconi,H.H.Wang,J.D.B.Sutin,J.D.Dudek,J.M.Seaman,J.M.Williams,J.R.Ferraro,K.D.Carlson,K.R.Lykke,N.L.Eastman,P.B.Mobley,P.Wurz,R.A.Klemm,S.Fleshler,S.K.Kumar,U.Geiser		
53	JPS0603230	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							8.7			0	2		C																				isotope (substitution of the four ethylene C atoms with C<13>). delta-Tc = -0.1 K.			Magnetic Determination of Ginzburg-Landau Coherence Lengthfor Organic Superconductor kappa-(BEDT-TTF)2X (X=Cu(NCS)2,Cu[N(CN)2]Br): Effect of Isotope Substitution	1991			J.Phys.Soc.jpn, 60(1991)3230	G.Saito,H.Ito,M.Watanabe,N.Hosoito,T.Ishiguro,T.Komatsu,Y.Nogami		
54	PHC2640081	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.16			0	3		C																				isotope (substitution of the four ethylene C atoms with C<13>). delta-Tc = 0.00 K.			Determination of amass isotope effect on T in an electron-donor-based organic superconductor, k-(ET)2Cu(NCS)2, where ET represents bis(ethylenedithio)tetrathiafulvalene	1996		Chemistry and Materials Science Divisions, Argonne National Laboratory, 9700 S. Cass Avenue, Argonne, IL 60439, USA	Physica.C,264(1996)81-94	A.M. Kini,H.H. Wang,J.A. Schlueter,J.D. Dudek,Jack M. Williams,K.D. Carlson,K.R. Lykke,S.A. Sirchio,U. Geiser	organic	
55	PHC2040399	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.32			0	3		C																				isotope (substitution of all doubly bonded C atoms with C<13>). delta-Tc = +0.03 K.			DO THE INTRAMOLECULAR C=C STRETCHING VIBRATIONAL MODES IN ET MEDIATE ELECTRON-PAIRING IN K-(ET)2X SUPERCONDUCTORS?	1993			PHYSICA C,204(1993)399	A.M.KINI,G.A.YACONI,H.H.WANG,J.A.SCHLUETER,J.D.DUDEK,J.M.WILLIAMS,J.R.FERRARO,K.D.CARLSON,K.R.LYKKE,P.STOUT,P.WURZ,R.A.KLEMM,U.GEISER	ORG	
56	PHS0670295	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.3			0	2		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = -0.4 K.				1992			Phosphourus Sulfur Silicon Relat.Elem., 67(1992)295	G.Saito,H.Ito,H.Yamochi,N.Matsukawa,T.Ishiguro,T.Komatsu,T.Nakamura		
57	PHC2640081	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.16			0	3		C																				multi-isotope C, S (substitution of the four ethylene C atoms with C<13>, substitution of all eight S atoms with S<34>). delta-Tc = -0.12 K.			Determination of amass isotope effect on T in an electron-donor-based organic superconductor, k-(ET)2Cu(NCS)2, where ET represents bis(ethylenedithio)tetrathiafulvalene	1996		Chemistry and Materials Science Divisions, Argonne National Laboratory, 9700 S. Cass Avenue, Argonne, IL 60439, USA	Physica.C,264(1996)81-94	A.M. Kini,H.H. Wang,J.A. Schlueter,J.D. Dudek,Jack M. Williams,K.D. Carlson,K.R. Lykke,S.A. Sirchio,U. Geiser	organic	
58	PHC2640081	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.24			0	3		C																				multi-isotope D, C, S (substitution of all eight H atoms with D, substitution of the four ethylene C atoms with C<13>, substitution of all eight S atoms with S<34>). delta-Tc = +0.15 K.			Determination of amass isotope effect on T in an electron-donor-based organic superconductor, k-(ET)2Cu(NCS)2, where ET represents bis(ethylenedithio)tetrathiafulvalene	1996		Chemistry and Materials Science Divisions, Argonne National Laboratory, 9700 S. Cass Avenue, Argonne, IL 60439, USA	Physica.C,264(1996)81-94	A.M. Kini,H.H. Wang,J.A. Schlueter,J.D. Dudek,Jack M. Williams,K.D. Carlson,K.R. Lykke,S.A. Sirchio,U. Geiser	organic	
59	MCL2840419	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.08			0	3		C																				multi-isotope N, C (substitution of N<15>C<13> in the anion layer)			Isotope effect study of kappa-(BEDT-TTF)2Cu(NCS)2:Labeling in the anion	1996			Mol.Cryst.Liq.Cryst., 284(1996)419	A.M.Kini,A.S.Komosa,E.Stevenson,H.H.Wang,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,U.Geiser		
60	PHC2650163	Ag(CF3)4	kappa<L>-(BEDT-TTF)2Ag(CF3)4	2	BEDT-TTF							2.9			0	3		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = +0.21 K.			New directions in the synthesis and exploration of novel oeganic superconductors: inverse isotope effect in the organic superconductorkL-(ET)2Ag(CF3)4(1-bromo-1,2-dichloroethane)[ET=bis(ethylenedithio)tetrathia	1996		Chemistry and Materials Science Divisions,Argonne National Laboratory,Argonne,Illinois 60439, USA	Physica.C,265(1996)163-170	A.M. Kini,D. Nauman,J.A. Schlueter,J.D. Dudek,J.M. Williams,J.P. Flynn,M.E. Kelly,T. Roy,U. Geiser	organic	
61	PR02701947	FSO3	(TMTSF)2FSO3	2	TMTSF							2.1	2.1	0.65	0.5																							thermopower also measured.			Metal-insulator transitions and superconductivity in ditetramethyltetraselenafulvalenium fluorosulfonate [(TMTSF)2FSO3]	1983		University of California,Los Angeles,USA	Phys.Rev.B, 27(1983)1947	E.Aharon-Shalom,F.Wudl,P.M.Chaikin,R.C.Lacoe,S.A.Wolf		
62	PR02900500	ClO4	(TMTSF)2ClO4	2	TMTSF							1.1			0												3.64											gap from R measurement. R(max) at 24.5 K. R(min) at 7.72 K. Properties depend on anion ordering.			Resistivity of the organic superconductor ditetramethyltetraselenafulvalenium perchlorate, (TMTSF)2ClO4, in its relaxed, quenched, and intermediate state	1984			Phys.Rev.B, 29(1984)500	F.Wudl,H.Schwenk,K.Andres		
63	PR03103138	I3	beta-(BEDT-TTF)2I3	2	BEDT-TTF							1.03			0						0.0358																	Hc1shows Hc1(0.115 K) = 0.358 Oe for H//ab-plane. For H//a, H//b, Hc1(0.115 K) are 0.052 and 0.087 Oe.			New, organic, volume superconductor at ambient pressure	1985			Phys.Rev.B, 31(1985)3138	C.P.Heidmann,D.Schweitzer,E.Hess,F.Gross,H.J.Keller,H.Schwenk,K.Andres		
64	PR03301987	I3	beta-(BEDT-TTF)2I3	2	BEDT-TTF							1.5			0				-10														OTC64					hydrostatic pressure. anion length = 10.1 A	OTC64.dat		Shear-induced superconductivity in beta-di[bis(ethylenedithio)tetrathiafulvalene]triiodide [beta-(BEDT-TTF)2I3]	1986			Phys.Rev.B,33(1986)1987	E.L.Venturini,H.H.Wang,J.E.Schirber,J.F.Kwak,J.M.Williams,L.J.Azevedo,M.A.Beno,P.C.W.Leung		
65	PR03301987	IBr2	beta-(BEDT-TTF)2IBr2	2	BEDT-TTF							2.8			0				-7.5														OTC64					hydrostatic pressure. anion length = 9.41 A	OTC64.dat		Shear-induced superconductivity in beta-di[bis(ethylenedithio)tetrathiafulvalene]triiodide [beta-(BEDT-TTF)2I3]	1986			Phys.Rev.B,33(1986)1987	E.L.Venturini,H.H.Wang,J.E.Schirber,J.F.Kwak,J.M.Williams,L.J.Azevedo,M.A.Beno,P.C.W.Leung		
66	PR03301987	AuI2	beta-(BEDT-TTF)2AuI2	2	BEDT-TTF							5			0				-12.5														OTC64					hydrostatic pressure. anion length = 9.36 A	OTC64.dat		Shear-induced superconductivity in beta-di[bis(ethylenedithio)tetrathiafulvalene]triiodide [beta-(BEDT-TTF)2I3]	1986			Phys.Rev.B,33(1986)1987	E.L.Venturini,H.H.Wang,J.E.Schirber,J.F.Kwak,J.M.Williams,L.J.Azevedo,M.A.Beno,P.C.W.Leung		
67	PR03301987	I3	beta-(BEDT-TTF)2I3	2	BEDT-TTF										0				-7.5															OTC67				not hydrostatic pressure (using frozen cyclopentane). Tc(P=0) extraporated to 8 K. anion length = 10.1 A.		OTC67.dat	Shear-induced superconductivity in beta-di[bis(ethylenedithio)tetrathiafulvalene]triiodide [beta-(BEDT-TTF)2I3]	1986			Phys.Rev.B,33(1986)1987	E.L.Venturini,H.H.Wang,J.E.Schirber,J.F.Kwak,J.M.Williams,L.J.Azevedo,M.A.Beno,P.C.W.Leung		
68	L092067001	ClO4	(TMTSF)2ClO4	2	TMTSF							1.45			0							5											OHC68					single crystal(triclinic). RRR=1400. H//b' (projection of b to ab-plane).	OHC68.dat		Magnetic determination of Hc2 under accurate alignment in (TMTSF)2ClO4	2004			Phys.Rev.Lett., 92(2004)67001	J.I.Oh,M.J.Naughton		
69	PR03403156	IBr2	beta-(BEDT-TTF)2IBr2	2	BEDT-TTF							2.42			0						0.39																	Hc1,GL-par in TBL are ones at T=0.5K. Hc1(0.5K)//c = 16.5 Oe(1.65 mT).			Superconductivity in sulfur-based organic superconductors: A volume property	1986			Phys.Rev.B, 34(1986)3156	H.Schwenk,R.L.Greene,S.S.P.Parkin,V.Y.Lee		
70	PR03403156	AuI2	beta-(BEDT-TTF)2AuI2	2	BEDT-TTF							4.02			0						4	6.63		249	0.51	10.5							OHC70					Hc1, GL-par in TBL are ones at T=1.2K. Hc1(1.2K)//c=20.5 Oe. Hc2(0)//c=0.51 T. cohere//c=19.2 A. penet//c=4.1 um.	OHC70.dat		Superconductivity in sulfur-based organic superconductors: A volume property	1986			Phys.Rev.B, 34(1986)3156	H.Schwenk,R.L.Greene,S.S.P.Parkin,V.Y.Lee		
71	PRL0500270	ReO4	beta-(BEDT-TTF)4(ReO4)2	2	BEDT-TTF	7.78	12.59	16.97	73.01	79.89	89.06	1.9	1.9	0.4	0.4																		OPH71						OPH71.dat		Superconductivity in a new family of organic conductors	1983			Phys.Rev.Lett., 50(1983)270	E.M.Engler,J.C.Scott,R.L.Greene,R.Lagier,R.R.Schumaker,S.S.P.Parkin,V.Y.Lee		
72	JPS0540869	I3	beta-(BEDT-TTF)2I3	2	BEDT-TTF	6.609	9.083	15.267	85.63	95.62	70.22	1.1			0							1.78		633									OHC72					Hc2(0.5K)//a=0.97T, Hc2(0.5K)//b'=0.93T, Hc2(0.5K)//c*=840Oe, where c* and b' are perpendicular to ab- and ac*-plane. cohere//b = 608A, cohere//c* = 29A.	OHC72.dat		Critical field anisotropy in an organic superconductor beta-(BEDT-TTF)2I3	1985			J.Phys.Soc.Jpn, 54(1985)869	G.Saito,H.Anzai,H.Bando,K.Kajimura,K.Murata,M.Tokumoto,T.Ishiguro		
73	JPS0541669	IBr2	beta-(BEDT-TTF)2IBr2	2	BEDT-TTF	6.593	8.975	15.093	93.79	94.97	110.54	2.3			0							3.22	1.4	463									OHC73					Hc2(1.5K)//a=1.12T, Hc2(1.5K)//c*=450Oe, cohere//b'=444A, cohere//c*=18.5A, where c* and b' are perpendicular to ab- and ac*-plane.	OHC73.dat		Critical field anisotropy in an organic superconductor beta-(BEDT-TTF)2IBr2	1985			J.Phys.Soc.Jpn, 54(1985)1669	G.Saito,H.Anzai,H.Bando,K.Kajimura,M.Tokumoto,N.Kinoshita,T.Ishiguro		
74	JPS0541669	IBr2	beta-(BEDT-TTF)2IBr2	2	BEDT-TTF	6.593	8.975	15.093	93.79	94.97	110.54	2.2			0									515									OHC74					Hc2(0)//b'=3.77T from dHc2//b'/dT = 1.71T/K. Hc2(1.5K)//b'=1.20T, Hc2(1.5K)//c*=500Oe, cohere//b'=494A, cohere//c*=20.7A, where c* and b' are perpendicular to ab- and ac*-plane.	OHC74.dat		Critical field anisotropy in an organic superconductor beta-(BEDT-TTF)2IBr2	1985			J.Phys.Soc.Jpn, 54(1985)1669	G.Saito,H.Anzai,H.Bando,K.Kajimura,M.Tokumoto,N.Kinoshita,T.Ishiguro		
75	JPS0542084	I3	beta-(BEDT-TTF)2I3	2	BEDT-TTF							8			0									125														stable s/c at P=0 when P is released after P > 1.3 kbar measurements. Low Tc(1.5K)- and high Tc(8K)- phases observed.			Pressure phase diagram of the organic superconductor beta-(BEDT-TTF)2I3	1985			J.Phys.Soc.Jpn, 54(1985)2084	G.Saito,H.Anzai,H.Bando,K.Kajimura,K.Murata,M.Tokumoto,T.Ishiguro		
76	JPS0570730	Cu(NCS)2	beta-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF	16.248	8.44	13.124		110.3		10.4			0									9.6									OHC76					cohere< c > =182 A.	OHC76.dat		Peculiar critical field behaviour in the recently discovered ambient pressure organic superconductor (BEDT-TTF)2Cu(NCS)2 (Tc=10.4 K)	1988			J.Phys.Soc.Jpn, 57(1988)730	G.Saito,H.Urayama,H.Yamochi,K.Oshima		
77	PHB1430366	I3	beta-(BEDT-TTF)2I3	2	BEDT-TTF							1.1	6	0.13	0																		OHC77					Hc2(T) at P=1.3 kbar.	OHC77.dat		Upper critical field of beta-(BEDT-TTF)2I3 in the high Tc superconducting state	1986			Physica B, 143(19686)366	G.Saito,H.Anzai,K.Kajimura,K.Murata,M.Tokumoto,N.Toyota,S.Morita,T.Ishiguro,Y.Muto		
78	SSC0570089	AuI2	beta-(BEDT-TTF)2AuI2	2	BEDT-TTF	6.603	9.015	15.403	94.95	96.19	110.66	4.12			0							6.14		177														Hc2(0)//c = 1.1 T. cohere < c > = 30 A. Tc(max) = 4.98 K obtained for the same batch.			Ambient pressure superconductivity at 4-5 K in beta-(BEDT-TTF)2AuI2	1986			Solid State Commun., 57(1986)89	G.W.Crabtree,H.H.Wang,J.M.Williams,K.D.Carlson,K.S.Webb,L.Nunez,M.A.Beno,M.A.Firestone,U.Geiser		
79	SSC0640335	Cl2/2H2O	(BEDT-TTF)3Cl2/2H2O	2	BEDT-TTF							1.9	1.9	1.6	1.5	1							0.21															dHc2/dT = 1.66 and 0.21 T/K for H//c and H//b*, respectively. Hc2(T) at 1.6 GPa.			SUPERCONDUCTIVITY IN (BEDT-TTF)3CL22H2O	1987			SOLID STATE COMMUN.,64(1987)335	H.Inokuchi,HIROO INOKUCHI,T.Mori,TAKEHIKO MORI		
80	PHB1430378	Ni(dmit)2	TTF[Ni(dmit)2]2	2	TTF	46.22	3.732	22.86		119.29		1.62			0																							monoclinic. space-G = 2/c. RRR=90.			The first 3d molecular superconductor under pressure ?: TTF[Ni(dmit)2]2	1986			Physica B, 143(19686)378	L.Brossard,L.Valade,M.Ribault,P.Cassoux		
81	PHB1350515	I3	beta<L>-(BEDT-TTF)2I3	2	BEDT-TTF							1.1			0							2		620														Hc2(0)//c* = 0.08T. cohere<b'>=608A, cohere<c*>=29A.			High Tc superconducting state in (BEDT-TTF)2 trihalides	1985			Physica B, 135(1985)515	G.Saito,H.Anzai,H.Bando,H.Tanino,K.Kajimura,K.Murata,M.Tokumoto,N.Kinoshita,T.Ishiguro		
82	PHB1350515	I3	beta<H>-(BEDT-TTF)2I3	2	BEDT-TTF							7.2			0							25		125														s/c measured at P=1.6 GPa. Hc2(0)//C: = 2.7T. cohere<c*>=10A.			High Tc superconducting state in (BEDT-TTF)2 trihalides	1985			Physica B, 135(1985)515	G.Saito,H.Anzai,H.Bando,H.Tanino,K.Kajimura,K.Murata,M.Tokumoto,N.Kinoshita,T.Ishiguro		
83	PHB1350515	IBr2	beta-(BEDT-TTF)2IBr2	2	BEDT-TTF							2.3			0									460														cohere<b'>=440A, cohere<c*>=19A at P=0 GPa. Tc(P=0.22GPa) = 0.8 K.			High Tc superconducting state in (BEDT-TTF)2 trihalides	1985			Physica B, 135(1985)515	G.Saito,H.Anzai,H.Bando,H.Tanino,K.Kajimura,K.Murata,M.Tokumoto,N.Kinoshita,T.Ishiguro		
84	PHB1350515	I2Br	beta-(BEDT-TTF)2I2Br	2	BEDT-TTF															0.05																		not s/c. at P=0.3 GPa, down to 50 mK.			High Tc superconducting state in (BEDT-TTF)2 trihalides	1985			Physica B, 135(1985)515	G.Saito,H.Anzai,H.Bando,H.Tanino,K.Kajimura,K.Murata,M.Tokumoto,N.Kinoshita,T.Ishiguro		
85	PHB1430357	I3	beta<L>-(BEDT-TTF)2I3	2	BEDT-TTF							1.15			0							2.09		587														low-Tc-phase. Hc2//b = 2.48T, Hc2//c* = 0.081T. cohere< b > = 696A, cohere< c* > = 22.6A.				1986			Physica B, 143(1986)357	C.-P.Heidmann,D.Schweitzer,K.Andres		
86	PHB1430357	I3	beta<L>-(d-BEDT-TTF)2I3	2	BEDT-TTF							1.43			0							2.58		506														low-Tc-phase. isotope (H to D exchange) sample. Hc2//b = 2.55T, Hc2//c* = 0.13T. cohere< b > = 500A, cohere< c* > = 25.5A.				1986			Physica B, 143(1986)357	C.-P.Heidmann,D.Schweitzer,K.Andres		
87	SSC0660405	AuBr2	kappa-(DMET)2AuBr2	2	DMET	11.542	8.238	16.168	90	90.99	90	1.9			0																							rhombus-like crystal is s/c. others not s/c.			Polymorphism and electrical conductivity of the organic superconductor (DMET)2AuBr2	1988			Solid State Commun., 66(1988)405	H.Anzai,I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,T.Ishiguro,Y.Honda,Y.Ishikawa		
88	JPS0563436	I3	beta-(DMET)2I3	2	DMET							0.47			0																							RRR=1300			On ambient-pressure superconductivity in organic conductors: Electrical properties of (DMET)2I3, (DMET)2I2Br and (DMET)2IBr2	1987			J.Phys.Soc.Jpn, 56(1987)3436	I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,T.Ishiguro,T.Namiki,Y.Honda		
89	JPS0563436	I2Br	(DMET)2I2Br	2	DMET															0.5																		not s/c down to 0.5K at ambient pressure.			On ambient-pressure superconductivity in organic conductors: Electrical properties of (DMET)2I3, (DMET)2I2Br and (DMET)2IBr2	1987			J.Phys.Soc.Jpn, 56(1987)3436	I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,T.Ishiguro,T.Namiki,Y.Honda		
90	JPS0563436	IBr2	beta-(DMET)2IBr2	2	DMET							0.58			0																										On ambient-pressure superconductivity in organic conductors: Electrical properties of (DMET)2I3, (DMET)2I2Br and (DMET)2IBr2	1987			J.Phys.Soc.Jpn, 56(1987)3436	I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,T.Ishiguro,T.Namiki,Y.Honda		
91	PHB1430360	AuI2	beta-(BEDT-TTF)2AuI2	2	BEDT-TTF							3.18							-11																						Meissner effect under pressure in organic superconductors of the beta-(BEDT-TTF)2X family (X = I3, IBr2, AuI2)	1986			Physica B, 143(19686)360	C.-P.Heidmann,E.Amberger,F.Gross,H.Fuchs,H.Veith,K.Andres		
92	PHB1430360	IBr2	beta-(BEDT-TTF)2IBr2	2	BEDT-TTF							1.95							-13.5																						Meissner effect under pressure in organic superconductors of the beta-(BEDT-TTF)2X family (X = I3, IBr2, AuI2)	1986			Physica B, 143(19686)360	C.-P.Heidmann,E.Amberger,F.Gross,H.Fuchs,H.Veith,K.Andres		
93	PRL0491008	ReO4	(TMTSF)2ReO4		TMTSF							1.3	1.3	0.95	0.95																							Order-disorder transition at 180K.			X-Ray Scattering Evidence for Anion Ordering and Structural Distortions in the Low-Temperature Phase of Di(Tetramethyltetraselanafulvalenium) Perrhenate [(TMTSF)2ReO4]	1982			Phys.Rev.Lett., 49(1982)1008	J.P.Pouget,K.Bechgaard,R.Comes,R.Moret		
94	PHC4020017	Cu(NCS)2	kappa-(d8-(BEDT-TTF))2Cu(SCN)2	2	BEDT-TTF							9.6			0				-38.8														OTC94					substitution of all eight H atoms with D. static pressure. not s/c down to 1.25 K at P=5.74 kbar.	OTC94.dat		Comparative pressure studies of the superconducting transition temperature in isotopically substituted samples of kappa-(BEDT-TTF)2Cu(SCN)2	2004		Department of Physics, Clarendon Laboratory, Oxford University, Parks Road, Oxford OX1 3PU, UK	Physica C, 402(2004)17	A.-K.Klehe,A.M.Kini,J.A.Schlueter,J.S.Schilling,T.Tomita		
